ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,file,abstract,aggregating_evidence,cited_by,colrev.dblp.dblp_key,colrev_pdf_id,colrev_status,curation_id,dblp_key,fulltext,goal_rowe,language,link,literature_review,lr_type_pare_et_al,note,r_agenda,r_agenda_levels,r_gaps,screening_criteria,synthesis,theory_building,topic
AdieTateChoEtAl2022,inproceedings,Digital Leaders and Digital Leadership: A Literature Review and Research Agenda,"Adie, Boniface Ushaka and Tate, Mary and Cho, Wonhyuk and Valentine, Elizabeth",2022,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2022/115,data/pdfs/2022/AdieTateChoEtAl2022.pdf,,,,https://dblp.org/rec/conf/pacis/AdieTCV22,,rev_synthesized,,,,,eng,,,,,,,,,,,
AdrotPallud2009,inproceedings,Crisis Response and IT Use Literature Review and Suggestions for Future Research,"Adrot, Anouck and Pallud, Jessie",2009,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2009/366,,,,,https://dblp.org/rec/conf/amcis/AdrotP09,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AdrotPallud2009,,,,eng,,,,,,,,,,,
Agarwal2010,article,Research Commentary —The Digital Transformation of Healthcare: Current Status and the Road Ahead,"Agarwal, Ritu and Gao, Guodong (Gordon) and DesRoches, Catherine and Jha, Ashish K.",2010,Information Systems Research,,21,4,796--809,10.1287/ISRE.1100.0327,,,"As the United States expends extraordinary efforts toward the digitization of its health-care system, and as policy makers across the globe look to information technology (IT) as a means of making health-care systems safer, more affordable, and more accessible, a rare and remarkable opportunity has emerged for the information systems research community to leverage its in-depth knowledge to both advance theory and influence practice and policy. Although health IT (HIT) has tremendous potential to improve quality and reduce costs in healthcare, significant challenges need to be overcome to fully realize this potential. In this commentary, we survey the landscape of existing studies on HIT to provide an overview of the current status of HIT research. We then identify three major areas that warrant further research: (1) HIT design, implementation, and meaningful use; (2) measurement and quantification of HIT payoff and impact; and (3) extending the traditional realm of HIT. We discuss specific research questions in each domain and suggest appropriate methods to approach them. We encourage information systems scholars to become active participants in the global discourse on health-care transformation through IT.",False,768,,,rev_synthesized,,,,Understanding,en,,,scoping-review,,True,comprehensive,True,,True,True,Other Domain
Aguirre-Urreta2008,article,Comparing conceptual modeling techniques,"Aguirre-Urreta, Miguel I. and Marakas, George M.",2008,ACM SIGMIS Database: the DATABASE for Advances in Information Systems,,39,2,9--32,10.1145/1364636.1364640,,,"The empirical literature comparing entity relationship and object-oriented modeling techniques, while vibrant, has often yielded equivocal findings. This review employs Norman's (1986) Theory of Action to distinguish between model creation and comprehension studies, and applies and extends the theoretical framework proposed by Gemino and Wand (2004) to highlight and detail several issues that may need further exploration if consistent results in this stream are to be realized. Specifically, this paper explores why and how issues of ontological foundation, training, equivalence of conceptual models, and modeling practices may result in differences between alternative modeling techniques. A comprehensive picture of this literature is provided and a number of potential avenues for future research are proposed.",False,23,,,rev_synthesized,,,,Understanding,en,,,critical-review,,False,partial,True,,True,False,Software Development
AgyeiOwusuMarfoQuansahEtAl2021,inproceedings,The use of interorganizational information systems in digitalizing supply chains - a systematic literature review and research agenda for Africa,"Agyei-Owusu, Benjamin and Marfo, John Serbe and Quansah, Emmanuel Kweku and Kumi, Caleb Amankwaa",2021,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2021/global_develop/global_develop/11,,,,,https://dblp.org/rec/conf/amcis/Agyei-OwusuMQK21,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AgyeiOwusuMarfoQuansahEtAl2021,,,,eng,,,,,,,,,,,
Ahlin2019,inproceedings,Measuring the Immeasurable? the Intangible Benefits of Digital Information,"Ahlin, Karin",2019,,Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2019.743,http://hdl.handle.net/10125/60052,data/pdfs/2019/Ahlin2019.pdf,,,,https://dblp.org/rec/conf/hicss/Ahlin19,cpid2:ffffffffffffffffffffffffffffffffff8001ffff8001fffffc3fffffffffffff1f800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001804ff001800ff01f800ffc7f800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff7fffffff0fc3fffffffffff,rev_synthesized,,,,,eng,,,,,,,,,,,
AhmadBotzkowskiKlotzerEtAl2020,inproceedings,Behind the Blackbox of Digital Business Models,"Ahmad, Mashood and Botzkowski, Tim and Klötzer, Christoph and Papert, Marcel",2020,,Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2020.556,http://hdl.handle.net/10125/64298,data/pdfs/2020/Internet and the Digital Economy/AhmadBotzkowskiKlotzerEtAl2020.pdf,,,,https://dblp.org/rec/conf/hicss/AhmadBKP20,cpid2:fffffffffe749ebfffffffffffffffffff8000fffffffffffc07e03fff1ff8fffc07e03fffffffffff9f800ff041000ff000000ff001800ff001800ff001000ff001800ff001800ff001800ff001800ff001800ff0ff800ff001000fffdf800ff0ff800ff0fd000ff001800ff001800fffef800ff0dffffff0fc3fdfffffffff,rev_synthesized,,,,,eng,,,,,,,,,,,
AhmadFernandezGaleoteXiEtAl2025,inproceedings,Gamification of Personal Finance: A Systematic Literature Review,"Ahmad, Ans and Fernández Galeote, Daniel and Xi, Nannan and Hamari, Juho",2025,,Pacific Asia Conference on Information Systems,,,,,,data/pdfs/2025/AhmadFernandezGaleoteXiEtAl2025.pdf,,,,,,rev_synthesized,,,,,eng,,,,,,,,,,,
AhmadSiemonGnewuchEtAl2022,inproceedings,A Framework of Personality Cues for Conversational Agents,"Ahmad, Rangina and Siemon, Dominik and Gnewuch, Ulrich and Robra-Bissantz, Susanne",2022,,Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2022.524,http://hdl.handle.net/10125/79861,data/pdfs/2022/AhmadSiemonGnewuchEtAl2022.pdf,,,1,https://dblp.org/rec/conf/hicss/AhmadSGR22,cpid2:fffffffffe7ffffffffffffffffffffffe00003fffc7e3ffff83c3ffff83c1ffff81c1ffff1f800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff3ff800ff0ff800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff201800ff1fffffff0fc3fffffffffff,rev_synthesized,,https://dblp.org/rec/conf/hicss/AhmadSGR22,,,eng,,,,,,,,,,,
AhmedDeokarLee2021,article,Vulnerability disclosure mechanisms: A synthesis and framework for market-based and non-market-based disclosures,"Ahmed, Ali and Deokar, Amit and Lee, Ho Cheung Brian",2021,Decision Support Systems,,148,,113586,10.1016/J.DSS.2021.113586,https://www.sciencedirect.com/science/article/pii/S0167923621000968,data/pdfs/148/AhmedDeokarLee2021.pdf,,,,https://dblp.org/rec/journals/dss/AhmedDL21,cpid2:ffffffffffffffffc7f00fffc4000003c4000023c0000003ffffffe7c00037ffccc3ffffc0003fffffffffffdfe3ffffc7e00003c3e00003ffe00003ffe00003ffe00003ffffffffe7ff8003c0010003c0010003c0010003c0018003c0010003c0018003c0008003ffffffffe3ffffffc03fffffc1ffffffffffffffffffffff,rev_synthesized,,,,,eng,,,,,,,,,,,
AhmedTwinomurinzi2019,inproceedings,Exploring Semantic Interoperability in e-Government Interoperability Frameworks for intra-African collaboration: A Systematic Literature Review,"Yousif Ahmed, Safa and Twinomurinzi, Hossana",2019,,Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2019.384,http://hdl.handle.net/10125/59754,,,,2,https://dblp.org/rec/conf/hicss/AhmedT19,,rev_synthesized,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AhmedTwinomurinzi2019,,,,eng,,,,,,,,,,,
AhmedVaghefi2021,inproceedings,Social Media Addiction - A Systematic Review through Cognitive-Behavior Model of Pathological Use,"Ahmed, Eiman and Vaghefi, Isaac",2021,,Hawaii International Conference on System Sciences,,,,,https://hdl.handle.net/10125/71422,,,,,https://dblp.org/rec/conf/hicss/AhmedV21,,rev_synthesized,,,,,,,,,,,,,,,,
AhmedVaghefi2021a,inproceedings,Social Media Addiction: A Systematic Review through Cognitive-Behavior Model of Pathological Use,"Ahmed, Eiman and Vaghefi, Isaac",2021,,Hawaii International Conference on System Sciences,,,,,,data/pdfs/2021/AhmedVaghefi2021a.pdf,,,,,,rev_synthesized,,,,,eng,,,,,,,,,,,
Ahuja2002,article,"Women in the information technology profession - a literature review, synthesis and research agenda","Ahuja, Manju K.",2002,European Journal of Information Systems,,11,1,20--34,10.1057/PALGRAVE.EJIS.3000417,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000417,,,False,258,https://dblp.org/rec/journals/ejis/Ahuja02,,rev_synthesized,https://github.com/CoLRev-curations/european-journal-of-information-systems#Ahuja2002,,,Explaining,eng,,yes,theoretical-review,,True,comprehensive,True,,True,True,Other Domain
AigbefoBlountMarrone2021,inproceedings,Information Security Strategy - A Scoping Review,"Queen, Aigbefo and Blount, Yvette and Marrone, Mauricio",2021,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2021/6,data/pdfs/2021/AigbefoBlountMarrone2021.pdf,,,,https://dblp.org/rec/conf/pacis/AigbefoBM21,,rev_synthesized,,,,,eng,,,,,,,,,,,
AinVaiaDeLone2019,inproceedings,"Business Intelligence System Adoption, Utilization and Success - A Systematic Literature Review","Ul-Ain, Noor and Vaia, Giovanni and DeLone, William",2019,,Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2019.710,http://hdl.handle.net/10125/60024,,,,19,https://dblp.org/rec/conf/hicss/Ul-AinVD19,,rev_synthesized,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AinVaiaDeLone2019,,,,eng,,,,,,,,,,,
AinVaiaDeLoneEtAl2019,article,"Two decades of research on business intelligence system adoption, utilization and success – A systematic literature review","Ain, NoorUl and Vaia, Giovanni and DeLone, William H. and Waheed, Mehwish",2019,Decision Support Systems,,125,,113113,10.1016/J.DSS.2019.113113,https://www.sciencedirect.com/science/article/pii/S0167923619301423,,,,198,https://dblp.org/rec/journals/dss/AinVDW19,,rev_synthesized,https://github.com/CoLRev-curations/decision-support-systems#AinVaiaDeLoneEtAl2019,,,,eng,,,,,,,,,,,
Ajer2018,inproceedings,Enterprise Architecture in Healthcare and Underlying Institutional Logics - a Systematic Literature Review of IS Research,"Ajer, Anne Kristin",2018,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2018/280,,,,,https://dblp.org/rec/conf/pacis/Ajer18,,rev_synthesized,https://github.com/CoLRev-curations/pacific-asia-conference-on-information-systems#Ajer2018,,,,eng,,,,,,,,,,,
AkdagWahl2024,inproceedings,Towards Tomorrow's Healthcare: An Examination of Emerging Technologies,"Akdag, Merve Turan and Wahl, Nihal",2024,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2024/track11_healthit/track11_healthit/12,data/pdfs/2024/AkdagWahl2024.pdf,,,,https://dblp.org/rec/conf/pacis/AkdagW24,,rev_synthesized,,,,,eng,,,,,,,,,,,
Akhlaghpour2013,article,"The Ongoing Quest for the it Artifact: Looking Back, Moving Forward","Akhlaghpour, Saeed and Wu, Jing and Lapointe, Liette and Pinsonneault, Alain",2013,Journal of Information Technology,,28,2,150--166,10.1057/JIT.2013.10,,,"More than 10 years ago, Orlikowski and Iacono (2001) examined the conceptualization of Information Technology (IT) in Information Systems Research (ISR) articles published in the 1990s. Their main conclusion was that the majority of these articles did not properly conceptualize the IT artifact. They recommended that IS researchers start to theorize about the IT artifact and employ rich conceptualizations of IT. The Orlikowski and Iacono paper provides a strong anchor point from which to analyze the evolution of the IS discipline. In order to obtain an up-to-date image of contemporary IS research, and to assess how the IS field has evolved since the 1990s, we carried out a similar analysis on a more recent and broader set of articles, that is, the full set (N = 644) of papers published between 2006 and 2009 by six top North American (ISR, MISQ, JAIS) and European (JIT, ISJ, EJIS) journals. The statistics in our results reveal no drastic advance in terms of deeper engagement with the IT artifact; more than 39% of the articles in our set are virtually mute about the artifact, and less than 16% employ an ensemble view of IT. Moreover, we note differences among the North American and European journals. Implications of the findings for two perspectives central to the IS research legitimacy debate are discussed.",False,44,,,rev_synthesized,,,,Describing,en,,,descriptive-review,,False,none,False,,True,False,Other Domain
AkinyemiJarvenpaaOzer2023,inproceedings,Boundary Reinforcement in Multisided Platforms: A Configurational Analysis of External Conditions,"Akinyemi, John Patrick and Jarvenpaa, Sirkka and Ozer, Gorkem Turgut",2023,,Hawaii International Conference on System Sciences,,,,,https://hdl.handle.net/10125/103358,data/pdfs/2023/AkinyemiJarvenpaaOzer2023.pdf,,,,https://dblp.org/rec/conf/hicss/AkinyemiJO23,cpid2:fffffffffe4c96ffffffffffffffffffff0000ffffc0c8fffc5f6f0ff004030fffffffffff3faccfff3f800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff07f800ff097800ff0ff800ff001800ff001800ff001800ff001800ff001800ffffff3bff0fffffff0fc3fdfffffffff,rev_synthesized,,https://dblp.org/rec/conf/hicss/AkinyemiJO23,,,eng,,,,,,,,,,,
AkkayaWolfKrcmar2010,inproceedings,The Role of Trust in E-Government Adoption - A Literature Review,"Akkaya, Cigdem and Wolf, Petra and Krcmar, Helmut",2010,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2010/297,,,,,https://dblp.org/rec/conf/amcis/AkkayaWK10,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AkkayaWolfKrcmar2010,,,,eng,,,,,,,,,,,
AkmeikinaEilersLiEtAl2022,inproceedings,Empowerment Effects in Human-machine Collaboration - A Systematic Literature Review and Directions on Hybrid Intelligence Behavior Patterns,"Akmeikina, Elisabeth and Eilers, Karen and Li, Mahei Manhai and Peters, Christoph",2022,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2022/179,data/pdfs/2022/AkmeikinaEilersLiEtAl2022.pdf,,,,https://dblp.org/rec/conf/pacis/AkmeikinaEL022,,rev_synthesized,,,,,eng,,,,,,,,,,,
Aksulu2010,article,A Comprehensive Review and Synthesis of Open Source Research,"Aksulu, Altay and Wade, Michael",2010,Journal of the Association for Information Systems,,11,11,576--656,10.17705/1JAIS.00245,,,,False,104,,,rev_synthesized,,,,Explaining,,,,theoretical-review,,False,partial,True,,True,True,Other Domain
AlAhmary2025,inproceedings,Integrating to Mitigate BI Adoption Barriers in SMEs: A Systematic Literature Review,"Al Ahmary, Hatim",2025,,Americas Conference on Information Systems,,,,,,data/pdfs/2025/AlAhmary2025.pdf,,,,,,rev_synthesized,,,,,,,,,,,,,,,,
AlGhattasMarjanovic2021,inproceedings,Business Analytics Capabilities for Organisational Resilience,"Al-Ghattas, Hussein and Marjanovic, Olivera",2021,,Hawaii International Conference on System Sciences,,,,,https://hdl.handle.net/10125/70637,data/pdfs/2021/AlGhattasMarjanovic2021.pdf,,,,https://dblp.org/rec/conf/hicss/Al-GhattasM21,,rev_synthesized,,,,,eng,,,,,,,,,,,
AlMsallamXiHamari2023,inproceedings,Unethical Gamification: A Literature Review,"Al-Msallam, Samaan and Xi, Nannan and Hamari, Juho",2023,,Hawaii International Conference on System Sciences,,,,,https://hdl.handle.net/10125/102766,data/pdfs/2023/AlMsallamXiHamari2023.pdf,,,,https://dblp.org/rec/conf/hicss/Al-MsallamXH23,cpid2:fffffffffe4c9effffffffffffffffffff8001fffc3e7e3ff83c3c1fffffffffff3fa14ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff001800ff3bf800ff01f800ff0ff800ff001800ff001800ff001800ff001800ff001800ff40ffffff03ffffff0fffffff0fc3fffffffffff,rev_synthesized,,https://dblp.org/rec/conf/hicss/Al-MsallamXH23,,,eng,,,,,,,,,,,
Alaghehband2011,article,An assessment of the use of Transaction Cost Theory in information technology outsourcing,"Alaghehband, Forough Karimi and Rivard, Suzanne and Wu, Shikui and Goyette, Sylvain",2011,The Journal of Strategic Information Systems,,20,2,125--138,10.1016/J.JSIS.2011.04.003,,,,True,99,,,rev_synthesized,,,,Testing,en,,,qualitative-systematic-review,,False,none,False,,True,False,Outsourcing
AlaskarVodanovichShen2015,inproceedings,Evolvement of Information Security Research on Employees' Behavior - A Systematic Review and Future Direction,"Alaskar, Mohamed and Vodanovich, Shahper and Shen, Kathy Ning",2015,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2015.508,https://ieeexplore.ieee.org/document/7070327/,,,,,https://dblp.org/rec/conf/hicss/AlaskarVS15,,rev_synthesized,,,,,eng,,,,,,,,,,,
Alavi2001,article,Review: Knowledge Management and Knowledge Management Systems: Conceptual Foundations and Research Issues,"Alavi, Maryam and Leidner, Dorothy E.",2001,MIS Quarterly,,25,1,107,10.2307/3250961,,,,False,5695,,,rev_synthesized,,,,Describing,,,,narrative-review,,True,comprehensive,True,,True,True,Knowledge Management
AleisaRenaud2017,inproceedings,Privacy of the Internet of Things: A Systematic Literature Review,"Aleisa, Noura and Renaud, Karen",2017,,Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2017.717,http://hdl.handle.net/10125/41881,,,,44,https://dblp.org/rec/conf/hicss/AleisaR17,,rev_synthesized,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AleisaRenaud2017,,,,eng,,,,,,,,,,,
AlmazyadLoiacono2020,inproceedings,Control vs Content - A Systematic Review of the Social Media Research Literature,"Almazyad, Fadi and Loiacono, Eleanor T.",2020,,Hawaii International Conference on System Sciences,,,,,http://hdl.handle.net/10125/64058,data/pdfs/2020/Digital and Social Media/AlmazyadLoiacono2020.pdf,,,,https://dblp.org/rec/conf/hicss/AlmazyadL20,cpid2:fffffffffe4090bffffffffffffffffffe00007ffe00007ffe0fe0ffff6fffffffbf9fffff19800ff001000ff001800ff001000ff001800ff001800ff001000fffff000ff0ff800ff001800ff000000ff00180fff00083fff001800ff001000ff001000ff001000ff001000ff000000ff727fffff0dffffff0fc3fdfffffffff,rev_synthesized,,,,,eng,,,,,,,,,,,
Aloini2007,article,Risk management in ERP project introduction: Review of the literature,"Aloini, Davide and Dulmin, Riccardo and Mininno, Valeria",2007,Information & Management,,44,6,547--567,10.1016/J.IM.2007.05.004,,,,False,233,,,rev_synthesized,,,,Describing,en,,,descriptive-review,,False,none,False,,True,False,Other Domain
AlotaibiBarrosDegirmenci2023,inproceedings,Resource Integration in The Vehicle Ecosystem: A Literature Review,"Alotaibi, Awatif and Barros, Alistair and Degirmenci, Kenan",2023,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2023/conf_theme/conf_theme/10,data/pdfs/2023/AlotaibiBarrosDegirmenci2023.pdf,,,,https://dblp.org/rec/conf/amcis/AlotaibiBD23,cpid2:fffffffffffffffffffffffffc00003ffe00007ffffc3ffffe0ff0fff001000ff9bbdffffff00fffffe007fff1fffffff000000ff000000ff000000ff000000ff000000ff1fffffff1fffffff0fffffff0fffffff000000ff000000ff000000ff000000ff000000ff000000ff000000ff00007ffffffffffffffffffffffffff,rev_synthesized,,https://dblp.org/rec/conf/amcis/AlotaibiBD23,,,eng,,,,,,,,,,,
AlshammariBensonBatista2023,inproceedings,Emotional Cost of Cyber Crime and Cybersecurity Protection Motivation Behaviour: A Systematic Literature Review,"Alshammari, Abdulelah and Benson, Vladlena and Batista, Luciano C.",2023,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2023/133,data/pdfs/2023/AlshammariBensonBatista2023.pdf,,,,https://dblp.org/rec/conf/pacis/AlshammariBB23,,rev_synthesized,,,,,eng,,,,,,,,,,,
Alshawmar2021,inproceedings,A Review of the Applications of Affordance Theory in mHealth App Research,"Alshawmar, Moayad",2021,,Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2021.437,https://hdl.handle.net/10125/71053,data/pdfs/2021/Alshawmar2021.pdf,,,,https://dblp.org/rec/conf/hicss/Alshawmar21,,rev_synthesized,,,,,eng,,,,,,,,,,,
AlsubaieAhmadMaynard2025,inproceedings,How can organizations operationalize CTI practices to support incident response?,"Alsubaie, Mohammed and Ahmad, Atif and Maynard, Sean",2025,,Pacific Asia Conference on Information Systems,,,,,,data/pdfs/2025/How Can Organizations Operationalize CTI Practices to Support Inc.pdf,,,,,,rev_synthesized,,,,,,,,,,,,,,,,
