ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,abstract,aggregating_evidence,cited_by,colrev.dblp.dblp_key,colrev_data_provenance,colrev_masterdata_provenance,colrev_origin,colrev_status,curation_id,fulltext,goal_rowe,language,literature_review,lr_type_pare_et_al,note,r_agenda,r_agenda_levels,r_gaps,synthesis,theory_building,topic
AgyeiOwusuMarfoQuansahEtAl2021,inproceedings,The use of interorganizational information systems in digitalizing supply chains - a systematic literature review and research agenda for Africa,"Agyei-Owusu, Benjamin and Marfo, John Serbe and Quansah, Emmanuel Kweku and Kumi, Caleb Amankwaa",2021,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2021/global_develop/global_develop/11,,,,https://dblp.org/rec/conf/amcis/Agyei-OwusuMQK21,"{'url': {'source': 'md_curated.bib/000089', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000106', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000089|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000106', 'md_curated.bib/000089', 'md_dblp.bib/000086']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AgyeiOwusuMarfoQuansahEtAl2021,,,eng,,,,,,,,,
AhmedTwinomurinzi2019,inproceedings,Exploring Semantic Interoperability in e-Government Interoperability Frameworks for intra-African collaboration: A Systematic Literature Review,"Yousif Ahmed, Safa and Twinomurinzi, Hossana",2019,,Proceedings of the Annual Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2019.384,http://hdl.handle.net/10125/59754,,,2,https://dblp.org/rec/conf/hicss/AhmedT19,"{'url': {'source': 'md_curated.bib/000204', 'note': ''}, 'language': {'source': 'md_curated.bib/000204', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000228', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000204|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000228', 'md_curated.bib/000204', 'md_dblp.bib/000204']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AhmedTwinomurinzi2019,,,eng,,,,,,,,,
Ahuja2002,article,"Women in the information technology profession - a literature review, synthesis and research agenda","Ahuja, Manju K.",2002,European Journal of Information Systems,,11,1,20--34,10.1057/PALGRAVE.EJIS.3000417,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000417,,False,258,https://dblp.org/rec/journals/ejis/Ahuja02,"{'doi': {'source': 'md_curated.bib/000011', 'note': ''}, 'url': {'source': 'md_curated.bib/000011', 'note': ''}, 'language': {'source': 'md_curated.bib/000011', 'note': ''}, 'literature_review': {'source': 'md_curated.bib/000011', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000028', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000011|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/european-journal-of-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000028', 'md_crossref.bib/000001', 'md_curated.bib/000011', 'md_dblp.bib/000010']",md_prepared,https://github.com/CoLRev-curations/european-journal-of-information-systems#Ahuja2002,,Explaining,eng,yes,theoretical-review,,True,comprehensive,True,True,True,Other Domain
AinVaiaDeLone2019,inproceedings,"Business Intelligence System Adoption, Utilization and Success - A Systematic Literature Review","Ul-Ain, Noor and Vaia, Giovanni and DeLone, William",2019,,Proceedings of the Annual Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2019.710,http://hdl.handle.net/10125/60024,,,19,https://dblp.org/rec/conf/hicss/Ul-AinVD19,"{'url': {'source': 'md_curated.bib/000208', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000229', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000208|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000229', 'md_crossref.bib/000023', 'md_curated.bib/000208', 'md_dblp.bib/000212']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AinVaiaDeLone2019,,,eng,,,,,,,,,
AinVaiaDeLoneEtAl2019,article,"Two decades of research on business intelligence system adoption, utilization and success – A systematic literature review","Ain, NoorUl and Vaia, Giovanni and DeLone, William H. and Waheed, Mehwish",2019,Decision Support Systems,,125,,113113,10.1016/J.DSS.2019.113113,https://www.sciencedirect.com/science/article/pii/S0167923619301423,,,198,https://dblp.org/rec/journals/dss/AinVDW19,"{'doi': {'source': 'md_curated.bib/000344', 'note': ''}, 'url': {'source': 'md_curated.bib/000344', 'note': ''}, 'language': {'source': 'md_curated.bib/000344', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000376', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000344|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/decision-support-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000376', 'md_crossref.bib/000110', 'md_curated.bib/000344', 'md_dblp.bib/000345']",md_prepared,https://github.com/CoLRev-curations/decision-support-systems#AinVaiaDeLoneEtAl2019,,,eng,,,,,,,,,
Ajer2018,inproceedings,Enterprise Architecture in Healthcare and Underlying Institutional Logics - a Systematic Literature Review of IS Research,"Ajer, Anne Kristin",2018,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2018/280,,,,https://dblp.org/rec/conf/pacis/Ajer18,"{'url': {'source': 'md_curated.bib/000332', 'note': ''}, 'language': {'source': 'md_curated.bib/000332', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000333', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000332|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/pacific-asia-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000333', 'md_curated.bib/000332', 'md_dblp.bib/000331']",md_prepared,https://github.com/CoLRev-curations/pacific-asia-conference-on-information-systems#Ajer2018,,,eng,,,,,,,,,
Akhlaghpour2013,article,"The Ongoing Quest for the it Artifact: Looking Back, Moving Forward","Akhlaghpour, Saeed and Wu, Jing and Lapointe, Liette and Pinsonneault, Alain",2013,Journal of Information Technology,,28,2,150--166,10.1057/JIT.2013.10,,"More than 10 years ago, Orlikowski and Iacono (2001) examined the conceptualization of Information Technology (IT) in Information Systems Research (ISR) articles published in the 1990s. Their main conclusion was that the majority of these articles did not properly conceptualize the IT artifact. They recommended that IS researchers start to theorize about the IT artifact and employ rich conceptualizations of IT. The Orlikowski and Iacono paper provides a strong anchor point from which to analyze the evolution of the IS discipline. In order to obtain an up-to-date image of contemporary IS research, and to assess how the IS field has evolved since the 1990s, we carried out a similar analysis on a more recent and broader set of articles, that is, the full set (N = 644) of papers published between 2006 and 2009 by six top North American (ISR, MISQ, JAIS) and European (JIT, ISJ, EJIS) journals. The statistics in our results reveal no drastic advance in terms of deeper engagement with the IT artifact; more than 39% of the articles in our set are virtually mute about the artifact, and less than 16% employ an ensemble view of IT. Moreover, we note differences among the North American and European journals. Implications of the findings for two perspectives central to the IS research legitimacy debate are discussed.",False,44,,,,,,,,Describing,en,,descriptive-review,,False,none,False,True,False,Other Domain
AkkayaWolfKrcmar2010,inproceedings,The Role of Trust in E-Government Adoption - A Literature Review,"Akkaya, Cigdem and Wolf, Petra and Krcmar, Helmut",2010,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2010/297,,,,https://dblp.org/rec/conf/amcis/AkkayaWK10,"{'url': {'source': 'md_curated.bib/000090', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000107', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000090|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000107', 'md_curated.bib/000090', 'md_dblp.bib/000092']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AkkayaWolfKrcmar2010,,,eng,,,,,,,,,
Aksulu2010,article,A Comprehensive Review and Synthesis of Open Source Research,"Aksulu, Altay and Wade, Michael",2010,Journal of the Association for Information Systems,,11,11,576--656,10.17705/1JAIS.00245,,,False,104,,,,,,,,Explaining,,,theoretical-review,,False,partial,True,True,True,Other Domain
Alaghehband2011,article,An assessment of the use of Transaction Cost Theory in information technology outsourcing,"Alaghehband, Forough Karimi and Rivard, Suzanne and Wu, Shikui and Goyette, Sylvain",2011,The Journal of Strategic Information Systems,,20,2,125--138,10.1016/J.JSIS.2011.04.003,,,True,99,,,,,,,,Testing,en,,qualitative-systematic-review,,False,none,False,True,False,Outsourcing
Alavi2001,article,Review: Knowledge Management and Knowledge Management Systems: Conceptual Foundations and Research Issues,"Alavi, Maryam and Leidner, Dorothy E.",2001,MIS Quarterly,,25,1,107,10.2307/3250961,,,False,5695,,,,,,,,Describing,,,narrative-review,,True,comprehensive,True,True,True,Knowledge Management
AleisaRenaud2017,inproceedings,Privacy of the Internet of Things: A Systematic Literature Review,"Aleisa, Noura and Renaud, Karen",2017,,Proceedings of the Annual Hawaii International Conference on System Sciences,,,,10.24251/HICSS.2017.717,http://hdl.handle.net/10125/41881,,,44,https://dblp.org/rec/conf/hicss/AleisaR17,"{'url': {'source': 'md_curated.bib/000216', 'note': ''}, 'language': {'source': 'md_curated.bib/000216', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000230', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000216|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000230', 'md_curated.bib/000216', 'md_dblp.bib/000216']",md_prepared,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AleisaRenaud2017,,,eng,,,,,,,,,
Aloini2007,article,Risk management in ERP project introduction: Review of the literature,"Aloini, Davide and Dulmin, Riccardo and Mininno, Valeria",2007,Information & Management,,44,6,547--567,10.1016/J.IM.2007.05.004,,,False,233,,,,,,,,Describing,en,,descriptive-review,,False,none,False,True,False,Other Domain
AlsuhaibanyLi2017,inproceedings,Estimation of Rooftop Solar Photovoltaic (PV) Potential - A Systematic Literature Review and Guidelines for Future Research,"Alsuhaibany, Yazeed and Li, Yan",2017,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2017/GreenIS/Presentations/3,,,,https://dblp.org/rec/conf/amcis/AlsuhaibanyL17,"{'url': {'source': 'md_curated.bib/000096', 'note': ''}, 'language': {'source': 'md_curated.bib/000096', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000108', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000096|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000108', 'md_curated.bib/000096', 'md_dblp.bib/000094']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AlsuhaibanyLi2017,,,eng,,,,,,,,,
Alter2013,article,"Work System Theory: Overview of Core Concepts, Extensions, and Challenges for the Future","Alter, Steven",2013,Journal of the Association for Information Systems,,14,2,72--121,10.17705/1JAIS.00323,,,False,177,,,,,,,,Explaining,,,theoretical-review,,False,partial,True,True,True,Other Domain
Alter2014,article,Theory of Workarounds,"Alter, Steven",2014,Communications of the Association for Information Systems,,34,1,1041--1066,10.17705/1CAIS.03455,,,False,118,,,,,,,,Explaining,en,,theoretical-review,,False,none,False,True,True,Other Domain
AlyamiPileggiHawryszkiewycz2020,inproceedings,The Impact of New Technologies on Learning - A Literature review on Mobile Collaborative Learning,"Alyami, Abdulrahman and Pileggi, Salvatore F. and Hawryszkiewycz, Igor T.",2020,,Pacific Asia Conference on Information Systems,,,,,https://aisel.aisnet.org/pacis2020/213,,,,https://dblp.org/rec/conf/pacis/AlyamiPH20,"{'url': {'source': 'md_curated.bib/000335', 'note': ''}, 'language': {'source': 'md_curated.bib/000335', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000334', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000335|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/pacific-asia-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000334', 'md_curated.bib/000335', 'md_dblp.bib/000334']",md_prepared,https://github.com/CoLRev-curations/pacific-asia-conference-on-information-systems#AlyamiPileggiHawryszkiewycz2020,,,eng,,,,,,,,,
Amrollahi2014,article,Three Decades of Research on Strategic Information System Plan Development,"Amrollahi, Alireza and Ghapanchi, Amir Hossein and Talaei-Khoei, Amir",2014,Communications of the Association for Information Systems,,34,1,1439--1467,10.17705/1CAIS.03484,,,False,0,,,,,,,,Describing,en,,descriptive-review,,False,partial,True,True,True,Software Development
Arnott2012,article,"Design Science in Decision Support Systems Research: An Assessment using the Hevner, March, Park, and Ram Guidelines","Arnott, David and Pervan, Graham",2012,Journal of the Association for Information Systems,,13,11,923--949,10.17705/1JAIS.00315,,,False,43,,,,,,,,Describing,,,descriptive-review,,False,partial,True,True,False,Other Domain
AswadLessard2021,inproceedings,Service Design Methods' Ability to Personalize Telehealth - A Systematic Literature Review,"Aswad, Oday and Lessard, Lysanne",2021,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2021/healthcare_it/sig_health/13,,,,https://dblp.org/rec/conf/amcis/AswadL21,"{'url': {'source': 'md_curated.bib/000098', 'note': ''}, 'curation_id': {'source': 'local_index_title_LIKE_literature_review.bib/000109', 'note': ''}, 'language': {'source': 'LanguageDetector', 'note': ''}, 'colrev.dblp.dblp_key': {'source': 'md_curated.bib/000098|rename-from:dblp_key', 'note': ''}}","{'CURATED': {'source': 'https://github.com/CoLRev-curations/americas-conference-on-information-systems', 'note': ''}}","['local_index_title_LIKE_literature_review.bib/000109', 'md_curated.bib/000098', 'md_dblp.bib/000096']",md_prepared,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AswadLessard2021,,,eng,,,,,,,,,
Avgerou2008,article,Information Systems in Developing Countries: A Critical Research Review,"Avgerou, Chrisanthi",2008,Journal of Information Technology,,23,3,133--146,10.1057/PALGRAVE.JIT.2000136,,"In this paper I review the Information Systems (IS) research on how developing countries have attempted to benefit from information and communication technologies (ICTs). First I identify three discourses on IS implementation and associated organizational and social change that coexist in information systems in developing countries (ISDC) research, namely as a process of technology and knowledge transfer and adaptation to local social conditions; as a process of socially embedded action; and as a process of transformative techno-organizational intervention associated with global politics and economics. I then point out the distinctive research agenda that has been formed in ISDC studies, both in the more familiar IS themes - failure, outsourcing, and strategic value of ICT - and also in studies of themes relevant specifically to the context of developing countries, such as the development of community ICT and information resources. Finally, I call the reader's attention to the potentially significant theoretical contributions of ISDC research for understanding IS innovation in relation to social context and in relation to socio-economic development theories and policies.",False,387,,,,,,,,Understanding,en,,critical-review,,True,comprehensive,False,True,False,Other Domain
Ba2001,article,Research Commentary: Introducing a Third Dimension in Information Systems Design—The Case for Incentive Alignment,"Ba, Sulin and Stallaert, Jan and Whinston, Andrew B.",2001,Information Systems Research,,12,3,225--239,10.1287/ISRE.12.3.225.9712,,"Prior research has generated considerable knowledge on information systems design from software engineering and user-acceptance perspectives. As organizational processes are increasingly embedded within information systems, one of the key considerations of many business processes—organizational incentives—should become an important dimension of any information systems design and evaluation, which we categorize as the third dimension: incentive alignment. Incentive issues have become important in many IS areas, including distributed decision support systems (DSS), knowledge management, and e-business supply chain coordination. In this paper we outline why incentives are important in each of these areas and specify requirements for designing incentive-aligned information systems. We identify and define important unresolved problems along the incentive-alignment dimension of information systems and present a research agenda to address them.",False,190,,,,,,,,Explaining,en,,theoretical-review,,True,comprehensive,True,True,True,Software Development
